dataset,model,kernel,scaler,poly,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
5G_NIDD,HHH,None,MinMaxScaler,-1,42,6880,1800,9,0.3788962496147607,88.82222222222222,39.699999999999996,44.111111111111114,6.209876543209877,43.716861479222565,48.57429053246952,39.54088823089138,43.93432025654598,88.41956597222223,88.41956597222222,88.41956597222223,89.44921875,0.07971906661987305,13.103810787200928,0.0004558563232421875,1345.71875,ok
5G_NIDD,HHH,None,MinMaxScaler,-1,43,6880,1800,9,0.3703968750448332,88.65555555555555,38.95,43.27777777777778,6.302469135802468,42.773436807233196,47.526040896925785,38.34851199396831,42.60945777107591,88.09979166666668,88.09979166666668,88.09979166666668,90.97015625,0.07469797134399414,12.787775993347168,0.0002460479736328125,1349.296875,ok
5G_NIDD,HHH,None,MinMaxScaler,-1,44,6880,1800,9,0.37643820863219757,88.75555555555556,39.4,43.77777777777778,6.246913580246914,43.19837762233741,47.99819735815267,38.871947903724326,43.19105322636036,88.31430555555555,88.31430555555553,88.31430555555556,90.65234375,0.37079501152038574,13.739923238754272,0.0005238056182861328,1349.515625,ok
5G_NIDD,HHH,None,MinMaxScaler,-1,45,6880,1800,9,0.35829498216643113,88.44444444444444,38.0,42.22222222222222,6.419753086419753,41.90023155087748,46.555812834308306,37.65797738072373,41.84219708969302,87.95739583333332,87.95739583333332,87.95739583333332,90.376875,0.16460490226745605,13.47720718383789,0.00025010108947753906,1345.765625,ok
5G_NIDD,HHH,None,MinMaxScaler,-1,46,6880,1800,9,0.3485798335162907,88.26666666666667,37.2,41.333333333333336,6.518518518518518,41.62890022826476,46.25433358696085,36.76687814078382,40.852086823093124,87.74817708333333,87.74817708333335,87.74817708333332,88.923125,0.3634190559387207,6.941633939743042,0.0002231597900390625,1345.78125,ok
5G_NIDD,HHH,None,QuantileTransformer,-1,42,6880,1800,9,0.35326741319890803,88.35555555555555,37.6,41.77777777777778,6.469135802469136,44.54770027842675,49.49744475380749,37.59365980086905,41.770733112076734,84.6707638888889,84.67076388888889,84.6707638888889,71.3278125,0.6563279628753662,18.506198167800903,0.0003020763397216797,1323.765625,ok
5G_NIDD,HHH,None,QuantileTransformer,-1,43,6880,1800,9,0.33508433885604333,88.02222222222223,36.099999999999994,40.11111111111111,6.65432098765432,43.503275466544295,48.336972740604764,36.18314650420804,40.20349611578671,84.576875,84.576875,84.576875,71.95281250000001,0.6504800319671631,18.676851987838745,0.0003352165222167969,1323.515625,ok
5G_NIDD,HHH,None,QuantileTransformer,-1,44,6880,1800,9,0.34234300162233644,88.14444444444445,36.65,40.72222222222222,6.58641975308642,42.47432647601192,47.193696084457684,35.819679105346616,39.79964345038512,84.98461805555554,84.98461805555557,84.98461805555556,70.45796875,0.34247517585754395,1.779923915863037,0.0002110004425048828,1334.171875,ok
5G_NIDD,HHH,None,QuantileTransformer,-1,45,6880,1800,9,0.34342156256454015,88.15555555555555,36.7,40.77777777777778,6.580246913580247,43.96487043206113,48.84985603562348,36.35757739074384,40.39730821193761,85.35897569444442,85.35897569444445,85.35897569444445,72.43703124999999,0.16506505012512207,2.227299213409424,0.00024390220642089844,1334.578125,ok
5G_NIDD,HHH,None,QuantileTransformer,-1,46,6880,1800,9,0.3199368132812807,87.75555555555556,34.9,38.77777777777778,6.802469135802469,41.41561373964209,46.01734859960233,34.55705522080467,38.3967280231163,84.15447916666668,84.15447916666666,84.15447916666668,69.493125,0.6129751205444336,11.013094186782837,0.00024771690368652344,1340.75,ok
5G_NIDD,HHH,None,StandardScaler,-1,42,6880,1800,9,0.1400271883373542,84.57777777777777,20.6,22.88888888888889,8.567901234567902,20.01381106335569,22.237567848172986,18.83611610783106,20.929017897590064,80.53947916666667,80.53947916666667,80.53947916666667,87.28468749999999,0.06322097778320312,10.518805980682373,0.0032618045806884766,1344.28125,ok
5G_NIDD,HHH,None,StandardScaler,-1,43,6880,1800,9,0.221206565159015,86.03333333333333,27.150000000000002,30.166666666666668,7.759259259259259,31.671229620417872,35.19025513379764,27.34303097042793,30.381145522697707,84.58876736111111,84.58876736111111,84.58876736111111,89.09281250000001,0.3618748188018799,12.636299133300781,0.00024700164794921875,1341.953125,ok
5G_NIDD,HHH,None,StandardScaler,-1,44,6880,1800,9,0.12861451526039483,84.37777777777778,19.7,21.88888888888889,8.679012345679013,23.638262773967078,26.26473641551898,19.80257063718152,22.002856263535026,82.48289930555556,82.48289930555555,82.48289930555556,88.70281250000001,0.1688539981842041,12.407821893692017,0.00024700164794921875,1345.53125,ok
5G_NIDD,HHH,None,StandardScaler,-1,45,6880,1800,9,0.06674040265570466,83.24444444444444,14.599999999999996,16.22222222222222,9.308641975308642,15.153658767729022,16.83739863081003,13.227527333540856,14.697252592823173,77.35215277777777,77.35215277777779,77.35215277777777,87.516875,0.35181522369384766,2.30782413482666,0.0002129077911376953,1345.546875,ok
