dataset,model,kernel,scaler,poly,gamma_setting,gamma_used,n_train,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_fit_s,t_predict_s,peak_rss_mb,status
5G_NIDD,HHH,poly,MinMaxScaler,-1,default,,6880,9,0.8749708392639132,97.73333333333333,79.80000000000001,1.2592592592592593,82.29053807278139,80.23133698931322,97.96822916666667,93.7253125,1.0246047973632812,0.20727872848510742,6118.625,ok
5G_NIDD,HHH,poly,MinMaxScaler,-1,heuristic,1622.4030156525932,6880,9,0.8536386331582533,97.33333333333334,78.0,1.4814814814814816,81.6826358186727,78.89439207433455,97.05114583333334,90.71437499999999,20.842986822128296,0.20125293731689453,12607.125,ok
5G_NIDD,HHH,rbf,MinMaxScaler,-1,default,,6880,9,0.8989080612732668,98.16666666666667,81.74999999999999,1.0185185185185186,84.55125058349076,82.66294862056411,98.28434027777777,93.82921875,0.9232058525085449,0.13231515884399414,6118.625,ok
5G_NIDD,HHH,rbf,MinMaxScaler,-1,heuristic,1622.4030156525932,6880,9,0.60790370367238,91.50617283950618,61.77777777777778,4.777777777777778,61.51024932926688,57.3354249269729,82.68314236111112,93.05453124999998,0.8700962066650391,0.11919808387756348,6118.625,ok
5G_NIDD,HHH,sigmoid,MinMaxScaler,-1,default,,6880,9,0.15021053842136523,84.76666666666667,21.45,8.462962962962962,31.473382974259028,18.199165287791924,77.56500000000001,78.13749999999999,19.886385917663574,0.10789299011230469,12607.125,ok
5G_NIDD,HHH,sigmoid,MinMaxScaler,-1,heuristic,1622.4030156525932,6880,9,0.0,80.24691358024691,11.11111111111111,11.11111111111111,1.2345679012345678,2.2222222222222223,50.0,50.0,0.936694860458374,0.10280013084411621,6344.765625,ok
5G_NIDD,HHHv2,poly,MinMaxScaler,-1,default,,6880,9,0.985017443171669,99.70370370370371,98.66666666666666,0.16666666666666669,98.68022290081501,98.66651002251385,99.65836805555556,99.94875,1.0177021026611328,0.21117806434631348,6348.390625,ok
5G_NIDD,HHHv2,poly,MinMaxScaler,-1,heuristic,1622.4030156525932,6880,9,0.9670298043142499,99.34567901234568,97.05555555555556,0.3680555555555555,97.1292834983022,97.02982405196175,97.5820138888889,92.77437499999999,1.6358330249786377,0.2042398452758789,6348.5,ok
5G_NIDD,HHHv2,rbf,StandardScaler,-1,default,,6880,9,0.9856284223268524,99.71604938271605,98.72222222222223,0.15972222222222224,98.72462601968964,98.72205511251731,99.47475694444444,99.418125,0.936378002166748,0.1339108943939209,6344.984375,ok
5G_NIDD,HHHv2,rbf,StandardScaler,-1,heuristic,66.44562246445342,6880,9,0.8725555514922192,97.27160493827161,87.72222222222223,1.5347222222222223,93.79227996479058,87.55401601369431,99.33456597222225,99.341875,0.8805050849914551,0.12557077407836914,6344.984375,ok
5G_NIDD,HHHv2,sigmoid,MinMaxScaler,0,default,,926,9,0.03658048102530665,80.41975308641976,11.88888888888889,11.013888888888888,4.577360795879808,3.5352603547283796,95.78013888888887,88.77843750000001,0.013160228729248047,0.016425132751464844,6365.921875,ok
5G_NIDD,HHHv2,sigmoid,MinMaxScaler,0,heuristic,8.18420611351172,926,9,0.0,80.24691358024691,11.11111111111111,11.11111111111111,1.2345679012345678,2.2222222222222223,47.43659722222222,74.90625000000001,0.012730836868286133,0.015436172485351562,6369.46875,ok
BoT_IoT,HHH,poly,QuantileTransformer,2,default,,7729,6,0.9891844438182442,99.7459062676454,84.79591836734694,0.14822134387351776,85.14525565188508,84.96684942303473,99.84555152848597,99.99945175438596,1.3454480171203613,0.29904794692993164,2242.078125,ok
BoT_IoT,HHH,poly,QuantileTransformer,2,heuristic,0.9820579004736715,7729,6,0.9843856100481964,99.63297571993223,84.38265306122449,0.21409749670619235,84.90514411668701,84.63953666223313,99.61674188164376,99.80921052631577,2.1795990467071533,0.2893989086151123,3153.84375,ok
BoT_IoT,HHH,rbf,QuantileTransformer,0,default,,6157,6,0.9861927650563892,99.62121212121212,98.77976190476191,0.22727272727272727,98.85027963743346,98.80538014308277,99.4117082997244,99.99671052631578,0.6988589763641357,0.14252305030822754,1154.9375,ok
BoT_IoT,HHH,rbf,QuantileTransformer,0,heuristic,6.689546781662232,6157,6,0.6950727420758677,91.25494071146245,77.05654761904762,5.24703557312253,78.32905717578447,74.69492132158454,90.33597834834933,99.28728070175438,0.6840598583221436,0.12399816513061523,1170.71875,ok
BoT_IoT,HHH,sigmoid,QuantileTransformer,-1,default,,7729,6,0.40097508756864236,85.4884246188594,42.380102040816325,8.465085638998683,45.679100323772154,43.620526082003146,83.91721397453166,83.78371710526315,29.411915063858032,0.1449720859527588,6582.203125,ok
BoT_IoT,HHH,sigmoid,QuantileTransformer,-1,heuristic,8.015110603874477,7729,6,0.12563333026303403,76.83512140033879,16.71173469387755,13.512845849802371,28.371646999693294,20.397087407329867,64.80900482168063,65.5046600877193,29.340736865997314,0.13948893547058105,6599.84375,ok
BoT_IoT,HHHv2,poly,StandardScaler,0,default,,1760,6,0.9909892767077255,99.75296442687747,98.9672619047619,0.14822134387351776,99.03289824764788,98.99685501147366,99.35622498835691,97.78152412280703,0.03784799575805664,0.05977296829223633,3182.953125,ok
BoT_IoT,HHHv2,poly,StandardScaler,0,heuristic,1.6433949089088542,1760,6,0.9861972197552699,99.62121212121212,98.41964285714285,0.22727272727272727,98.65072340363093,98.52596465435866,99.07879215219562,97.17447916666667,0.0466008186340332,0.07058477401733398,3187.359375,ok
BoT_IoT,HHHv2,rbf,MinMaxScaler,0,default,,1377,6,0.9933918715546409,99.81884057971014,99.45833333333334,0.10869565217391304,99.51234567901236,99.48393951362165,99.95682805853234,99.99972587719299,0.01754283905029297,0.02971792221069336,3161.609375,ok
BoT_IoT,HHHv2,rbf,MinMaxScaler,0,heuristic,20.406806876598154,1377,6,0.990390862779762,99.7364953886693,99.20833333333334,0.15810276679841898,99.29726665561131,99.2504411113763,99.90629081083937,99.98245614035088,0.020183086395263672,0.03056812286376953,3161.71875,ok
BoT_IoT,HHHv2,sigmoid,MinMaxScaler,-1,default,,7729,6,0.8667457054032185,96.29446640316206,87.18452380952382,2.2233201581027666,88.7714652488217,87.52996948813227,98.09136976781033,99.4172149122807,1.5656940937042236,0.13016486167907715,3187.359375,ok
BoT_IoT,HHHv2,sigmoid,MinMaxScaler,-1,heuristic,3163.2742598954314,7729,6,-0.04515476844364812,73.07312252964427,16.208333333333332,16.15612648221344,3.231970754403456,5.389304516486561,49.608625175846704,48.364309210526315,2.122983932495117,0.13032197952270508,3187.359375,ok
CIC_IoT2023,HHH,poly,MinMaxScaler,-1,default,,7640,6,0.9864940726882355,99.72857142857143,84.69999999999999,0.15833333333333333,85.00827747218734,84.84880789485383,99.88050925925927,99.87930555555555,1.2790839672088623,0.25349903106689453,3187.359375,ok
CIC_IoT2023,HHH,poly,MinMaxScaler,-1,heuristic,2436.6120311296254,7640,6,0.9978597521056419,99.95714285714286,85.55714285714285,0.025,85.57284299858557,85.56427856955267,99.97077037037037,100.0,27.011525869369507,0.24659419059753418,7845.78125,ok
